Time, ID, Data
1279340,421400B,00863E0400000000
1279344,2214000,006800000000
1279350,6314003,2010300000000000
1279353,4214006,0000000000000000
1279369,6314020,00000094
1279375,4394100,7E97EA0003FE0000
1279377,4214001,0100808902D41700
1279387,4294001,0000000000000180
1279394,4394000,00000094
1279409,6214000,2C00400000340B00
1279420,18DA60F1,0322100000000000
1279427,4214001,0100808902DF1700
1279430,18DAF160,056210000B80
1279435,6284000,0000000000000000
1279437,4294001,0000000000000180
1279440,421400B,00863E0400000000
1279453,4214006,0000000000000000
1279469,6254000,80FFFF00FFFFFF00
1279474,4394100,7EB7EA0003FE0000
1279477,4214001,0100808902DF1700
1279485,2294000,0000000000000000
1279487,4294001,0000000000000180
1279494,4394000,00000094
1279497,621401A,0005010000000000
1279520,18DA60F1,0322100000000000
1279527,4214001,0100808902DF1700
1279530,18DAF160,056210000B80
1279537,4294001,0000000000000180
1279540,421400B,00863E0400000000
1279543,6314000,0000000000000000
1279553,4214006,0000000000000000
1279574,4394100,7EA7EA0003FE0000
1279577,4214001,0100808902DF1700
1279587,4294001,0000000000000180
1279594,4394000,00000094
1279596,2214000,006800000000
1279620,18DA60F1,0322100000000000
1279627,4214001,0100808902DF1700
1279630,18DAF160,056210000B80
1279637,4294001,0000000000000180
1279640,421400B,00863E0400000000
1279643,6264000,071EB37FC01A1B00
1279650,C214003,133901012013
1279653,4214006,0000000000000000
1279655,621400A,0000
1279659,6214000,2C00400000340B00
1279674,4394100,7EA7EA0003FE0000
1279677,4214001,0100808902DF1700
1279687,4294001,0000000000000180
1279690,63D4000,595B00000BC00000
1279694,4394000,00000094
1279719,6254000,80FFFF00FFFFFF00
1279722,18DA60F1,0322100000000000
1279727,4214001,0100808902E61700
1279730,18DAF160,056210000B80
1279737,4294001,0000000000000180
1279740,421400B,00863E0400000000
1279745,621401A,0005010000000000
1279750,C054003,0471CAE188CC0000
1279753,4214006,0000000000000000
1279774,4394100,7EA7EA0003FE8000
1279777,4214001,0100808902E61700
1279787,4294001,0000000000000180
1279790,6314000,0000000000000000
1279794,4394000,00000094
1279820,18DA60F1,0322100000000000
1279827,4214001,0100808902E61700
1279830,18DAF160,056210000B80
1279837,4294001,0000000000000180
1279839,18DA40F1,03220131
1279842,421400B,00863E0400000000
1279844,2214000,006800000000
1279847,18DAF140,0462013114
1279850,6314003,2010300000000000
1279853,4214006,0000000000000000
1279875,4394100,7E97EA0003FE0000
1279877,4214001,0100808902E61700
1279887,4294001,0000000000000180
1279894,4394000,00000094
1279909,6214000,2C00400000340B00
1279920,18DA60F1,0322100000000000
1279927,4214001,0100808902ED1700
1279930,18DAF160,056210000B80
1279934,6284000,0000000000000000
1279937,4294001,0000000000000180
1279940,421400B,00863E0400000000
1279950,A3D4003,2CA51002D0000000
1279953,4214006,0000000000000000
1279969,6254000,80FFFF00FFFFFF00
1279974,4394100,7EA7EA0003FE8000
1279977,4214001,0100808902ED1700
1279987,4294001,0000000000000180
1279994,4394000,00000094
1279997,621401A,0005010000000000
1280020,18DA60F1,0322100000000000
1280027,4214001,0100808902ED1700
1280030,18DAF160,056210000B80
1280037,4294001,0000000000000180
1280040,421400B,00863E0400000000
1280043,6314000,0000000000000000
1280050,A354003,2CA51002D0000000
1280053,4214006,0000000000000000
1280074,4394100,7E97EA0003FE0000
1280077,4214001,0100808902F01700
1280087,4294001,0000000000000180
1280094,4394000,00000094
1280096,2214000,006800000000
1280120,18DA60F1,0322100000000000
1280127,4214001,0100808902F01700
1280130,18DAF160,056210000B80
1280137,4294001,0000000000000180
1280140,421400B,00863E0400000000
1280143,6264000,071EB37FC0191B00
1280150,A194003,0000400000000000
1280153,4214006,0000000000000000
1280155,621400A,0000
1280159,6214000,2C00400000340B00
1280174,4394100,7EA7EA0003FE0000
1280177,4214001,0100808902F01700
1280187,4294001,0000000000000180
1280190,63D4000,595B00000BC00000
1280194,4394000,00000094
1280219,6254000,80FFFF00FFFFFF00
1280222,18DA60F1,0322100000000000
1280227,4214001,0100808902ED1800
1280230,18DAF160,056210000C00
1280237,4294001,0000000000000180
1280240,421400B,00863E0400000000
1280246,621401A,0005010000000000
1280250,C394003,C202000008016000
1280253,4214006,0000000000000000
1280274,4394100,7EA7EA0003FE0000
1280277,4214001,0100808902ED1700
1280287,4294001,0000000000000180
1280290,6314000,0000000000000000
1280294,4394000,00000094
1280306,E094000,001E04401C4B
1280309,E094003,000E
1280313,E09400A,000E
1280317,E094020,000A
1280320,18DA60F1,0322100000000000
1280325,E09401A,000E
1280327,4214001,0100808902ED1700
1280330,18DAF160,056210000B80
1280337,4294001,0000000000000180
1280340,421400B,00863E0400000000
1280344,2214000,006800000000
1280350,6314003,2010300000000000
1280353,4214006,0000000000000000
1280369,6314020,080000A4
1280374,4394100,7EA7EA0003FE0000
1280377,4214001,0100808902E21700
1280387,4294001,0000000000000180
1280394,4394000,00000094
1280409,6214000,2C00400000340B00
1280421,18DA60F1,0322100000000000
1280427,4214001,0100808902E21700
1280430,18DAF160,056210000B80
1280434,6284000,0000000000000000
1280437,4294001,0000000000000180
1280440,421400B,00863E0400000000
1280453,4214006,0000000000000000
1280469,6254000,80FFFF00FFFFFF00
1280474,4394100,7EB7EA0003FE0000
1280477,4214001,0100808902E21700
1280484,2294000,0000000000000000
1280487,4294001,0000000000000180
1280494,4394000,00000094
1280497,621401A,0005010000000000
1280521,18DA60F1,0322100000000000
1280527,4214001,0100808902E61700
1280530,18DAF160,056210000B80
1280537,4294001,0000000000000180
1280540,421400B,00863E0400000000
1280543,6314000,0000000000000000
1280553,4214006,0000000000000000
1280574,4394100,7EA7EA0003FE0000
1280577,4214001,0100808902E61700
1280587,4294001,0000000000000180
1280594,4394000,00000094
1280596,2214000,006800000000
1280620,18DA60F1,0322100000000000
1280627,4214001,0100808902E61700
1280630,18DAF160,056210000B80
1280637,4294001,0000000000000180
1280640,421400B,00863E0400000000
1280643,6264000,071EB37FC01B1C00
1280650,C214003,133901012013
1280653,4214006,0000000000000000
1280655,621400A,0000
1280659,6214000,2C00400000340B00
1280674,4394100,7EB7EA0003FE0000
1280677,4214001,0100808902E61700
1280687,4294001,0000000000000180
1280690,63D4000,595B00000BC00000
1280694,4394000,00000094
1280719,6254000,80FFFF00FFFFFF00
1280722,18DA60F1,0322100000000000
1280727,4214001,0100808902D71700
1280730,18DAF160,056210000B80
1280737,4294001,0000000000000180
1280740,421400B,00863E0400000000
1280745,621401A,0005010000000000
1280750,C054003,0471CAE188CC0000
1280753,4214006,0000000000000000
1280774,4394100,7EA7EA0003FE0000
1280777,4214001,0100808902D71700
1280787,4294001,0000000000000180
1280790,6314000,0000000000000000
1280794,4394000,00000094
1280820,18DA60F1,0322100000000000
1280827,4214001,0100808902D71700
1280830,18DAF160,056210000B80
1280837,4294001,0000000000000180
1280839,18DA40F1,03220131
1280842,421400B,00863E0400000000
1280845,2214000,006800000000
1280847,18DAF140,0462013114
1280850,6314003,2010300000000000
1280853,4214006,0000000000000000
1280874,4394100,7EA7EA0003FE0000
1280877,4214001,0100808902D41700
1280887,4294001,0000000000000180
1280894,4394000,00000094
1280909,6214000,2C00400000340B00
1280920,18DA60F1,0322100000000000
1280927,4214001,0100808902D41700
1280930,18DAF160,056210000B80
1280934,6284000,0000000000000000
1280937,4294001,0000000000000180
1280940,421400B,00863E0400000000
1280950,A3D4003,2CA51002D0000000
1280953,4214006,0000000000000000
1280969,6254000,80FFFF00FFFFFF00
1280974,4394100,7EA7EA0003FE0000
1280977,4214001,0100808902D41700
1280987,4294001,0000000000000180
1280994,4394000,00000094
1280997,621401A,0005010000000000
1281020,18DA60F1,0322100000000000
1281027,4214001,0100808902D71700
1281030,18DAF160,056210000B80
1281037,4294001,0000000000000180
1281040,421400B,00863E0400000000
1281043,6314000,0000000000000000
1281050,A354003,2CA51002D0000000
1281053,4214006,0000000000000000
1281074,4394100,7EB7EA0003FE8000
1281077,4214001,0100808902D71700
1281087,4294001,0000000000000180
1281094,4394000,00000094
1281096,2214000,006800000000
1281119,18DA60F1,0322100000000000
1281127,4214001,0100808902D71700
1281130,18DAF160,056210000B80
1281137,4294001,0000000000000180
1281140,421400B,00863E0400000000
1281143,6264000,071EB37FC01A1B00
1281150,A194003,0000400000000000
1281153,4214006,0000000000000000
1281155,621400A,0000
1281159,6214000,2C00400000340B00
1281174,4394100,7EB7EA0003FE0000
1281177,4214001,0100808902D01700
1281187,4294001,0000000000000180
1281190,63D4000,595B00000BC00000
1281194,4394000,00000094
1281219,6254000,80FFFF00FFFFFF00
1281222,18DA60F1,0322100000000000
1281227,4214001,0100808902D01700
1281230,18DAF160,056210000B80
1281237,4294001,0000000000000180
1281240,421400B,00863E0400000000
1281246,621401A,0005010000000000
1281250,C394003,C202000008016000
1281253,4214006,0000000000000000
1281274,4394100,7E97EA0003FE0000
1281277,4214001,0100808902D01700
1281287,4294001,0000000000000180
1281290,6314000,0000000000000000
1281294,4394000,00000094
1281306,E094000,001E04401C4B
1281309,E094003,000E
1281313,E09400A,000E
1281317,E094020,000A
1281320,18DA60F1,0322100000000000
1281325,E09401A,000E
1281327,4214001,0100808902DB1700
1281330,18DAF160,056210000B80
1281337,4294001,0000000000000180
1281340,421400B,00863E0400000000
1281344,2214000,006800000000
1281350,6314003,2010300000000000
1281353,4214006,0000000000000000
1281369,6314020,10000098
1281374,4394100,7EA7EA0003FE0000
1281377,4214001,0100808902DB1700
1281387,4294001,0000000000000180
1281394,4394000,00000094
1281409,6214000,2C00400000340B00
1281420,18DA60F1,0322100000000000
1281427,4214001,0100808902DB1700
1281430,18DAF160,056210000B80
1281434,6284000,0000000000000000
1281437,4294001,0000000000000180
1281440,421400B,00863E0400000000
1281453,4214006,0000000000000000
